Variable 1,Variable 2,Correlation coefficient
Gender_F,gender_menstrating_cohortsM,-1
DER_ARUP_log_STfR_Ferr,DER_BodyIron,-0.999875255884321
DER_ARUP_log_Ferr,DER_BodyIron,0.966851674449308
DER_EBV,DER_PercentRBCLoss,-0.966706989874747
DER_ARUP_log_Ferr,DER_ARUP_log_STfR_Ferr,-0.962965023433004
RQ18_Menstrual_Flow,menstrual_flow_times_freq,0.959392035668053
RQ17_NumberOfPeriods,gender_menstrating_cohortsF_no_menstr,0.955280212619143
DER_RBCLoss_mL,DER_AdjVenousHgb,0.953759807613697
RQ17_NumberOfPeriods,menstrual_flow_times_freq,0.947597838862075
RQ18_Menstrual_Flow,gender_menstrating_cohortsF_no_menstr,0.943388345486681
DER_EBV,DER_RedCellVolume,0.916181429828993
RQ17_NumberOfPeriods,RQ18_Menstrual_Flow,0.905188648924197
menstrual_flow_times_freq,gender_menstrating_cohortsF_no_menstr,0.905151643982919
DER_Weight,DER_EBV,0.898927063044855
DER_RBC_Last12months,DER_RBC_Last24months,0.891527865075752
RQ20_NumberOfPregnancies,RQ21_NumberOfLiveBirths,0.888544840204153
DER_RedCellVolume,DER_PercentRBCLoss,-0.888279481016513
DER_Weight,BMI,0.873639191806455
DER_Weight,DER_PercentRBCLoss,-0.87299479584732
RQ19_Ever_Pregnant,RQ20_NumberOfPregnancies,0.788710212317898
RQ19_Ever_Pregnant,RQ21_NumberOfLiveBirths,0.784786329435819
DER_Weight,DER_RedCellVolume,0.77382559220681
DER_Height,DER_EBV,0.754632300558391
ARUP_Ferritin,DER_ARUP_log_Ferr,0.744822701367628
DER_Height,DER_PercentRBCLoss,-0.740357905181658
DER_RedCellVolume,Gender_F,-0.73807691910793
DER_RedCellVolume,gender_menstrating_cohortsM,0.73807691910793
DER_Height,DER_RedCellVolume,0.729574297800767
ARUP_Ferritin,DER_BodyIron,0.691043960888679
DER_EBV,Gender_F,-0.688397534697162
DER_EBV,gender_menstrating_cohortsM,0.688397534697162
ARUP_Ferritin,DER_ARUP_log_STfR_Ferr,-0.686844108162957
RQ11_Beef,compositeIronScore,0.685338549956494
DER_RBC_Last12months,DER_DaysRBCLoss,-0.683802607838875
DER_Height,Gender_F,-0.681716239338963
DER_Height,gender_menstrating_cohortsM,0.681716239338963
DER_RBC_Last24months,cumLifetimeDonations,0.679501448074564
ARUP_STR,DER_ARUP_log_STfR_Ferr,0.665854588996086
DER_RBC_Last12months,cumLifetimeDonations,0.657995020514207
ARUP_STR,DER_BodyIron,-0.65669572164567
DER_PercentRBCLoss,Gender_F,0.653158044792335
DER_PercentRBCLoss,gender_menstrating_cohortsM,-0.653158044792335
DER_AdjVenousHgb,DER_RedCellVolume,0.652164799628803
DER_RBCLoss_mL,DER_RedCellVolume,0.639915384511414
DER_RBCLoss_mL,FingerstickHGB_equiv,0.633761413276713
Gender_F,RQ19_Ever_Pregnant,0.631009223315227
RQ19_Ever_Pregnant,gender_menstrating_cohortsM,-0.631009223315227
FingerstickHGB_equiv,DER_AdjVenousHgb,0.627602978507992
supp_iron_pct_of_daily,multivitamins_per_week,0.618844963543539
DD_RacethH,DD_RacethW,-0.609090088197738
RQ11_OMSS,RQ11_OtrFish,0.598673740505898
DER_RBC_Last24months,DER_DaysRBCLoss,-0.592490279621532
RQ11_Eggs,compositeIronScore,0.589204097995791
BMI,DER_EBV,0.588843752499703
BMI,DER_PercentRBCLoss,-0.578100488798477
DER_AdjVenousHgb,DER_ARUP_log_Ferr,0.544538141223542
DER_AdjVenousHgb,DER_BodyIron,0.534941115483051
DER_AdjVenousHgb,DER_ARUP_log_STfR_Ferr,-0.532784317708947
DER_Age,gender_menstrating_cohortsF_no_menstr,-0.520677316439658
DER_RBC_Last24months,DER_BodyIron,-0.515116000506707
DER_DaysRBCLoss,cumLifetimeDonations,-0.514563948336087
DER_RBC_Last24months,DER_ARUP_log_STfR_Ferr,0.514346865883664
RQ11_LPCT,compositeIronScore,0.512997289053331
DER_RedCellVolume,DER_ARUP_log_Ferr,0.512330826831801
DER_DaysRBCLoss,RQ1_Ever_Donated,-0.511262024624973
DER_RBC_Last24months,DER_ARUP_log_Ferr,-0.505020012841747
DER_RBCLoss_mL,DER_ARUP_log_Ferr,0.503914193901343
DER_RBC_Last12months,DER_BodyIron,-0.50126103815807
DER_RBC_Last12months,DER_ARUP_log_STfR_Ferr,0.500366200269063
DER_Age,RQ18_Menstrual_Flow,-0.500179646797015
