model,hyperparam_idx,AUC_01,AUC_02,AUC_03,AUC_04,AUC_05,AUC_06,AUC_07,AUC_08,AUC_09,AUC_10,AUC_11,AUC_12,AUC_13,AUC_14,AUC_15,AUC_mean
XGB,1585,0.753687955038155,0.746620903237765,0.754917856741665,0.75283101888891,0.7548706054050909,0.7550273163942092,0.752594969056102,0.756009025695418,0.74676325531776,0.7487150672681959,0.751245789623409,0.747695881589758,0.7536289571975171,0.754730994157737,0.754972322430692,0.7522874612028259
XGB,1586,0.752618050687728,0.746957975030289,0.7525030948654,0.7515511152562541,0.7552889988682749,0.7536399928189829,0.750988826705018,0.7538123691054921,0.7460580856022009,0.7491652849743821,0.7514478493386391,0.7452506953164609,0.7515677014678229,0.7566581391401759,0.755248317620538,0.7515170997865109
XGB,1587,0.752901580071626,0.7449983703310229,0.7550843274901641,0.7487470229109,0.751954385000685,0.7516063813815791,0.748684924121333,0.7553334493047591,0.7462271272136429,0.7475565015620959,0.7491635972880409,0.745345331244991,0.7501858195896,0.753408347219667,0.7536195249466621,0.7503211126451179
XGB,1588,0.74476773511431,0.7364827565153609,0.746205946680209,0.74502773847464,0.7456759206721499,0.748738930443982,0.745496225265148,0.750636682154647,0.7391139936765508,0.7438394467698171,0.739402870799364,0.739747603187077,0.7380514980446641,0.7517426069112231,0.7456521977198249,0.744038810161931
XGB,1589,0.7536206874760841,0.74633671432365,0.7558040580164209,0.75229930465213,0.754196278471522,0.7549475487350591,0.7513478798663791,0.7555196293126999,0.746333877704325,0.749840570348009,0.7523901769751931,0.7478300198757429,0.754132857131636,0.7550855388048969,0.756405387647913,0.752406035289444
XGB,1590,0.7531152487384059,0.7459799901979591,0.75725780666439,0.753764992335493,0.755589909031523,0.755287048479598,0.7507067442825011,0.7542559456785871,0.746873597808038,0.7485043066338491,0.753068109314773,0.747427063753548,0.753824801039369,0.7546423091578779,0.755272732054283,0.752371373678013
XGB,1591,0.7512853123903009,0.741794466179299,0.753332754850695,0.7486879258361159,0.752328886579765,0.75379023193958,0.747852489114892,0.7540878204856801,0.743728501348712,0.746389340797042,0.750577043818438,0.744861958971629,0.7506311461527351,0.752451579510298,0.7532687846934221,0.749671216177907
XGB,1592,0.7430861862311591,0.737137061465596,0.7457050821731239,0.738574703271783,0.7489326551203571,0.748143156890227,0.7437544540326508,0.748526684341249,0.7413834242100859,0.7397983986484058,0.7423314770231949,0.7411503685377571,0.743504685098851,0.7439373142424021,0.748038369294818,0.743600268038778
XGB,1593,0.753785034941345,0.745340487335394,0.75455663062031,0.751872101701807,0.754630082927024,0.7544599108753539,0.7522472654194692,0.754879124589571,0.746968773672073,0.7493037457531659,0.7518436269611679,0.747279240441294,0.7542980375841271,0.75455382763429,0.7551849700715629,0.752080190701864
XGB,1594,0.752886982588902,0.7465395872014978,0.7552435079289008,0.7513815194496891,0.754978078078371,0.7530706504638199,0.747641963258544,0.75443492966169,0.7475001529539879,0.7486919354368231,0.75012733438224,0.7475046625266508,0.7518662125523241,0.7546623633884301,0.7552025875350401,0.751448831160461
