model,hyperparam_idx,AUC_01,AUC_02,AUC_03,AUC_04,AUC_05,AUC_06,AUC_07,AUC_08,AUC_09,AUC_10,AUC_11,AUC_12,AUC_13,AUC_14,AUC_15,AUC_mean
rpart,1,0.626788436118768,0.639992083368079,0.646445065572907,0.642297290016875,0.645234885990232,0.623486473438717,0.641516793444721,0.637313527806858,0.632000785308424,0.639487600932319,0.641276765024873,0.615838116815071,0.629129038970113,0.633314998979554,0.633109374212109,0.635148749066641
rpart,2,0.671287838140033,0.663482670875464,0.666564487956171,0.664162736220359,0.668198178222989,0.658842267058566,0.674619525511007,0.659131376923985,0.666548051082976,0.659238359631232,0.66043045338982,0.650121453946443,0.665921876766149,0.667917413183216,0.661810750387656,0.663885162619738
rpart,3,0.652718552002148,0.656360564565715,0.663996513302121,0.656365217049643,0.65851618215953,0.636038148673262,0.658430875015446,0.657247161950595,0.658125473361772,0.65360529046239,0.65892878212519,0.647490330307438,0.661019020339727,0.650810141493736,0.654318882618019,0.654931409028449
rpart,4,0.624099170487496,0.612183444075312,0.611824221500837,0.615508394146208,0.622190317584262,0.610551136056789,0.621010879477528,0.619856689346167,0.630026189092117,0.624152686839955,0.619422455936036,0.621363660730943,0.624360848826064,0.617006876029813,0.621771345374085,0.619688554366907
rpart,5,0.540206567781344,0.499482074650521,0.499611648289051,0.571647700714757,0.545260497672181,0.58903618522647,0.499482074650521,0.591487070901503,0.545386282791625,0.543291546615603,0.576682562089296,0.534689345035153,0.600878905860148,0.573764790897169,0.57746253600448,0.552557985945322
rpart,6,0.644925824450509,0.655707820983095,0.658859557849784,0.648232077421885,0.646595768263695,0.638462300700143,0.653343197304321,0.642810678741247,0.644910289621796,0.647567693009085,0.653513525140323,0.630521594084575,0.643842241996403,0.642694274881405,0.641921709666712,0.646260570274332
rpart,7,0.671287838140033,0.663482670875464,0.666564487956171,0.664162736220359,0.668198178222989,0.658842267058566,0.674619525511007,0.659131376923985,0.666548051082976,0.659238359631232,0.66043045338982,0.650121453946443,0.666582040412674,0.667917413183216,0.661810750387656,0.663929173529506
rpart,8,0.652718552002148,0.656360564565715,0.663996513302121,0.656365217049643,0.65851618215953,0.636038148673262,0.658430875015446,0.657247161950595,0.658125473361772,0.65360529046239,0.65892878212519,0.647490330307438,0.661019020339727,0.650810141493736,0.654318882618019,0.654931409028449
rpart,9,0.624099170487496,0.612183444075312,0.611824221500837,0.615508394146208,0.622190317584262,0.610551136056789,0.621010879477528,0.619856689346167,0.630026189092117,0.624152686839955,0.619422455936036,0.621363660730943,0.624360848826064,0.617006876029813,0.621771345374085,0.619688554366907
rpart,10,0.540206567781344,0.499482074650521,0.499611648289051,0.571647700714757,0.545260497672181,0.58903618522647,0.499482074650521,0.591487070901503,0.545386282791625,0.543291546615603,0.576682562089296,0.534689345035153,0.600878905860148,0.573764790897169,0.57746253600448,0.552557985945322
