model,hyperparam_idx,AUC_01,AUC_02,AUC_03,AUC_04,AUC_05,AUC_06,AUC_07,AUC_08,AUC_09,AUC_10,AUC_11,AUC_12,AUC_13,AUC_14,AUC_15,AUC_mean
rpart,1,0.714450078084906,0.718673276355686,0.718447764874872,0.704559929239814,0.720900561485007,0.7014431326906,0.699857941887503,0.709955021510717,0.705338930069881,0.720939711132588,0.725946562218824,0.707387520293308,0.717762648698187,0.725233975843093,0.71397001958898,0.713657804931598
rpart,2,0.759907578386559,0.740511642960772,0.736412013960084,0.746883363892913,0.744868579850986,0.770910838644945,0.761624902486393,0.740946323923954,0.750573343179934,0.748473930526105,0.760464409662143,0.740957308661043,0.756111958792143,0.734075212607814,0.731920448249211,0.748309457052333
rpart,3,0.723740351196789,0.713056186618979,0.726117908831093,0.70987843785389,0.732925268700455,0.733549044857816,0.727147449941986,0.71043729585772,0.716395108203403,0.724679977883144,0.729631071305216,0.727975884206208,0.718723860504266,0.704057816594642,0.718806285822288,0.721141463225193
rpart,4,0.706874234600361,0.698966732871596,0.705784276224257,0.687978433436612,0.711566166410357,0.713831775457149,0.707028047772013,0.643065639349397,0.688333372470698,0.702380747181051,0.678786096937818,0.709269727783136,0.669346569828326,0.685475565839525,0.703199693081479,0.694125805282918
rpart,5,0.652166245991369,0.638008524336451,0.64798478790302,0.643493622347624,0.650424034553422,0.652663313110201,0.648673229440112,0.643065639349397,0.651009604605378,0.648137144172347,0.64634634787646,0.64781400114463,0.646942476906819,0.645401836202299,0.648401516477886,0.647368821627828
rpart,6,0.732557290691013,0.741572764529613,0.730298522902389,0.729625809074699,0.740406963629518,0.734301853271476,0.717031077340834,0.729619532219493,0.717586161104787,0.732337436043047,0.735967864628923,0.73228199278945,0.732596316084422,0.739790809541232,0.72692261372517,0.731526467171738
rpart,7,0.759907578386559,0.740511642960772,0.736412013960084,0.746883363892913,0.744868579850986,0.770910838644945,0.761624902486393,0.740946323923954,0.750573343179934,0.748473930526105,0.76011560534782,0.740957308661043,0.756111958792143,0.734075212607814,0.731920448249211,0.748286203431378
rpart,8,0.723740351196789,0.713056186618979,0.726117908831093,0.70987843785389,0.732925268700455,0.733549044857816,0.727147449941986,0.71043729585772,0.716395108203403,0.724679977883144,0.729631071305216,0.727975884206208,0.718723860504266,0.704057816594642,0.718806285822288,0.721141463225193
rpart,9,0.706874234600361,0.698966732871596,0.705784276224257,0.687978433436612,0.711566166410357,0.713831775457149,0.707028047772013,0.643065639349397,0.688333372470698,0.702380747181051,0.678786096937818,0.709269727783136,0.669346569828326,0.685475565839525,0.703199693081479,0.694125805282918
rpart,10,0.652166245991369,0.638008524336451,0.64798478790302,0.643493622347624,0.650424034553422,0.652663313110201,0.648673229440112,0.643065639349397,0.651009604605378,0.648137144172347,0.64634634787646,0.64781400114463,0.646942476906819,0.645401836202299,0.648401516477886,0.647368821627828
rpart,11,0.73845033383503,0.747915553168559,0.747256385952036,0.748604883355902,0.754479749546889,0.752494099557174,0.72665944170587,0.737786407587447,0.736409150067436,0.745826894938723,0.747166402147189,0.745355187634535,0.751074544562411,0.747543098436116,0.738737891507902,0.744384001600214
rpart,12,0.759907578386559,0.740511642960772,0.736158623812652,0.746883363892913,0.744868579850986,0.770910838644945,0.761105088019893,0.740115242829196,0.750573343179934,0.748397513393061,0.76011560534782,0.740957308661043,0.755976527851002,0.734067617487553,0.740733307099116,0.74875214542783
rpart,13,0.723740351196789,0.713056186618979,0.726117908831093,0.70987843785389,0.732925268700455,0.733549044857816,0.727147449941986,0.71043729585772,0.716395108203403,0.724679977883144,0.729631071305216,0.727975884206208,0.718723860504266,0.704057816594642,0.718806285822288,0.721141463225193
rpart,14,0.706874234600361,0.698966732871596,0.705784276224257,0.687978433436612,0.711566166410357,0.713831775457149,0.707028047772013,0.643065639349397,0.688333372470698,0.702380747181051,0.678786096937818,0.709269727783136,0.669346569828326,0.685475565839525,0.703199693081479,0.694125805282918
rpart,15,0.652166245991369,0.638008524336451,0.64798478790302,0.643493622347624,0.650424034553422,0.652663313110201,0.648673229440112,0.643065639349397,0.651009604605378,0.648137144172347,0.64634634787646,0.64781400114463,0.646942476906819,0.645401836202299,0.648401516477886,0.647368821627828
rpart,16,0.74946297939663,0.756662671299706,0.753294079106923,0.749009314735718,0.761868406928589,0.764124173803225,0.736812411806125,0.745257479038128,0.745894688347816,0.754463826249259,0.753990692242307,0.751547929974913,0.760801739652839,0.751352893429955,0.744786107551083,0.751955292904214
rpart,17,0.759904983691932,0.740676834599522,0.736158623812652,0.746242622450726,0.744868579850986,0.770736114556747,0.762596051957274,0.740115242829196,0.750302607137945,0.748590499355413,0.760409516809523,0.739709674094599,0.755533069620807,0.734067617487553,0.740733307099116,0.748709689690266
rpart,18,0.723740351196789,0.713056186618979,0.726117908831093,0.70987843785389,0.732925268700455,0.733549044857816,0.727147449941986,0.71043729585772,0.716395108203403,0.724679977883144,0.729631071305216,0.727975884206208,0.718723860504266,0.704057816594642,0.718806285822288,0.721141463225193
rpart,19,0.706874234600361,0.698966732871596,0.705784276224257,0.687978433436612,0.711566166410357,0.713831775457149,0.707028047772013,0.643065639349397,0.688333372470698,0.702380747181051,0.678786096937818,0.709269727783136,0.669346569828326,0.685475565839525,0.703199693081479,0.694125805282918
rpart,20,0.652166245991369,0.638008524336451,0.64798478790302,0.643493622347624,0.650424034553422,0.652663313110201,0.648673229440112,0.643065639349397,0.651009604605378,0.648137144172347,0.64634634787646,0.64781400114463,0.646942476906819,0.645401836202299,0.648401516477886,0.647368821627828
rpart,21,0.756678939041986,0.761231841727325,0.753792664352986,0.753428795155531,0.764605192556039,0.765201010717097,0.742767861647764,0.748767616097154,0.752615211428496,0.761793636519265,0.755776307710041,0.752780661573207,0.757234943664056,0.759902444825491,0.751409764187068,0.7558657927469
rpart,22,0.760719938205413,0.741229082343515,0.736081100266328,0.746964970235099,0.746088899383357,0.771891766986302,0.762580416720849,0.740160040602058,0.749483344980115,0.749303284376987,0.756992128564316,0.738665540463199,0.755518199534006,0.747421190341645,0.741379308508585,0.749631947434118
rpart,23,0.723740351196789,0.713056186618979,0.726117908831093,0.70987843785389,0.732925268700455,0.733549044857816,0.727147449941986,0.71043729585772,0.716395108203403,0.724679977883144,0.729631071305216,0.727975884206208,0.718723860504266,0.704057816594642,0.718806285822288,0.721141463225193
rpart,24,0.706874234600361,0.698966732871596,0.705784276224257,0.687978433436612,0.711566166410357,0.713831775457149,0.707028047772013,0.643065639349397,0.688333372470698,0.702380747181051,0.678786096937818,0.709269727783136,0.669346569828326,0.685475565839525,0.703199693081479,0.694125805282918
rpart,25,0.652166245991369,0.638008524336451,0.64798478790302,0.643493622347624,0.650424034553422,0.652663313110201,0.648673229440112,0.643065639349397,0.651009604605378,0.648137144172347,0.64634634787646,0.64781400114463,0.646942476906819,0.645401836202299,0.648401516477886,0.647368821627828
