model,version,modelID,AUC_mean,AUC_lb,AUC_ub
XGB,Extra biomarkers,XGB.770,0.820479457354848,0.816878458094055,0.824080456615642
random_forest,Extra biomarkers,random_forest.76,0.809229524365541,0.805196794960979,0.813262253770103
elastic_net_interactions,Extra biomarkers,elastic_net_interactions.4,0.809102808786082,0.804864366858773,0.813341250713391
elastic_net,Extra biomarkers,elastic_net.1,0.802794023216119,0.798498715983119,0.807089330449119
rpart,Extra biomarkers,rpart.21,0.7558657927469,0.749780606994654,0.761950978499146
XGB,Standard biomarkers,XGB.109,0.759319629517201,0.754123995310404,0.764515263723998
random_forest,Standard biomarkers,random_forest.39,0.759039845329389,0.752839479914762,0.765240210744016
elastic_net_interactions,Standard biomarkers,elastic_net_interactions.16,0.747412757762627,0.742194442077184,0.75263107344807
elastic_net,Standard biomarkers,elastic_net.2,0.724921091546512,0.719941840155566,0.729900342937458
rpart,Standard biomarkers,rpart.21,0.66988830948052,0.663226875774937,0.676549743186104
